Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara
"(2S*,3R*,4S*,5S*)-3-[(S)-(2'-Methoxy-2'-phenylacetoxy)]-4-ethyltricyclo[4.2....",,436031
"Benzaldehyde, 2-hydroxy-",,847673
"3H-1,2,4-Triazol-3-one, 1,2-dihydro-",,14463
"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-",,56281
"4'-(n-decyloxy)phenyl 4-[(S,S)-2,3-epoxy-(S)-1-hydroxynonyl]-benzoate",,11224
1H-Imidazole-4-methanol,,142440
(E)-3-Propyl-2-hepten-1-ol,,17997
2-Methyl-2-(phenylthio)thiolane 1-oxide,,7483
1-Heptanol,,194384
"(3S,5aS/R)-3-Pivaloyloxymethyltetrahydropyrrolo[1,2-b]oxaziridine",,49052
1-Isopropyl-2-((phenylthio)methyl)cyclopentene,,8585
"Acetic acid, pentyl ester",,2347978
"Acetic acid, decyl ester",,3543917
"1-Methyl-2,3-dihydro-1H-pyrrolo[3,2-c]pyridine",,147602
"Cyclobutanone, 2,2,3-trimethyl-",,11542
"3-Hydroxy-3,7,7-trimethyl-1,8-nonadien-5-one",,33706
"Pentanal, 2,3-dimethyl-",,159941
"1-Methylamino-4,4-dimethylazetidin-2-one",,11062
"4-methyl-1-(2-methylpen-4-en-2-yl)-1,2-diazetidin-3-one",,6713
"Hexane, 3,3-dimethyl-",,68601
"8,16,17-trioxadispiro[6.1.6.2]heptadecane",,28856
2-Methylthioacetic acid,,42045
Dimethyl tetrasulphide ,,143252
2-Cumyladamantane,,4865
"1,2-Benzenediol, O-(4-ethylbenzoyl)-O'-propargyloxycarbonyl-",,77636
"Acetic acid, phenylmethyl ester",,1833842
2-(Triethylsiloxy)octadecane,,833589
Ethyl 2-(n-butyl)cycloprop-2-en-1-carboxylate isomer,,31698
"(E)-6-Butyl-1,6-nonadiene",,61639
"Methyl 2-chloro-4-[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-quinoxalinyl)ca...",,46911
1-Heptadecanol,,43126
"(Z)-8-(Trimethylsilyl)-3,3-dimethyl-5-octenol",,38090
"1,9-Decadiene",,180026
"Alanine, N-methyl-n-propargyloxycarbonyl-, heptyl ester",,89836
"METHYL ESTER OF 1-BROMO-2,2,3,3-TETRAMETHYL-1-CYCLOPROPANCARBOXYLIC ACID",,14799
1-Ethyl-1-(2-oxopropyl)cyclopentane,,22102
"3,4,4,4-Tetradeiterio-2-(1-hydroxy-1-phenylmethyl)butanenitrile",,5518
"3,4,4-trimethyl-1,2,6-oxadiazine N-oxide",,154454
"2,3-Dihydro-2-methyl-5-ethylfuran",,185164
"1-Pentanone, 1-(4-methylphenyl)-",,37764
"4-Hexen-1-ol, 5-methyl-2-(1-methylethenyl)-, acetate",,704215
2-Octyl ethynyl ether,,59767
2-Methoxymethyl-3-phenyloxirane,,10443
"Phenol, 2-methyl-",,98811
"2,,5,5-Tetramethyl-3-oxacyclohexanone",,77888
Cyclopentanodec-5-ene,,98205
"1H-1,2,4-Triazol-5-amine, 1-propyl-",,113016
"3,3'''-Bis(acetylthio)[5]staffane ",,34410
"Oxalic acid, hexyl 2-phenylethyl ester",,71836
1-n-Hexylcyclooctanol ,,163308
p-Fluorophenyl 3-phenylprop-2-en-telluroloate,,71090
N-(1-Cyclohexylethyl)-(S)-1-phenylethylamine,,12831
"5-[3-(4-Isopropylphenyl)-2-methylpropyl]-2,3-dimethylpyrazine",,1059902
p-Methylbenzyl acetate,,3527711
"Hexanal, 4,4-dimethyl- ",,856657
"3-Decen-1-ol, acetate, (Z)-",,1875786
1-(1-Propynyl)cyclopentanol,,360731
"ethanoic acid 2,2,2-trichloroethyl ester ",,19782
1-Methoxy-4-(phenylethynyl)benzene,,230049
"Benzofuran, 2-methyl-",,39137
6-(2-Cyclohexenyl)-4-iodo-1-hexene,,53476
"2-[2-(1,3-Dioxolanyl)methyl]bicyclo[2.2.1]heptan-1-one",,102155
O-Propenylcarbonyl-N-isopropylidene oxime,,26676
"2-[2-(2-Hydroxyethoxy)propyl]-1,3-dioxolane",,13059
"3-Methylbenzoic acid, 2-formyl-4,6-dichlorophenyl ester",,7728
"5,12-Dicyano-7,14-dimethyl-7,14-diaza-2,9-dioxatricyclo[8.4.0.0(3,8)]tetrade...",,12591
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",,123723
"1,1-Dibutoxy-isobutane ",,56422
Benzeneethanol,,103484
exo-5-Methyl-3-oxabicyclo[4.1.0]heptan-2-one,,10492
9-Decen-1-yl acetate,,101002
"6,9a-Dihydro-6,9a-epoxycyclohepta[b]pyran-7(2H)-one",,8694
"(E,E)-1,4-Bis[(trimethylsilyloxy]buta-1,3-diene",,8427
"4-{(2E,4E,6E,8E)-[3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,...",,18095
"Ethanol, 2,2'-oxybis-",,61192
"Dimethyl N-(3-Bromo-4,5,6,7-tetrahydroisobenzofuroyl)-L-glutamate",,28727
"Formic acid, decyl ester",,431858
L-Valine diallylamide,,5694
"1,1,1,3,5,7,9,11,11,11-Decamethyl-5-(trimethylsiloxy)hexasiloxane",,438067
18-HYDROXY-5-epi-HYRTIOPHENOL - DIACETATE,,43039
"2-(3'-cyanobutyl)-1H-isoindole-1,3(2H)-dione",,14527
"3,4-EPOXY-4-METHYL-1-PENTYNE ",,57082
"(2S,3S)-3-Azido-3-[(1-benzyloxy)cyclopropyl]-1,2-propanediol",,69384
1-Methyl-5-nitro-4-phenylsulfonylimidazole,,82462
"3,4-Dihydroxyphenylglycol, 4TMS derivative",,46291
"2,3-Dihydro farnesyl acetate",,222039
"exo-(c-4a,c-8a)-1,4,4a,5,8,8a-Hexahydro-1,4,10,10-tetramethyl-r-l,c-4:t-5,t-...",,40172
"1,3-DIPHENYL-1,3,5,5-TETRAMETHYL-CYCLOTRISILOXANE",,23487
"(+-)-(1S,2E,4E)-1-Methylpenta-2,4-dien-1-yl acrylate",,1426
"5,6-bis[(Triisopropylsilyloxy)methyl]dec-5-ene-1,3,7,9-tetrayne",,28744
"Acetophenone, 4'-amino-",,143413
"Benzoic acid, 2,4-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester",,132994
"2-Methylthiolane, S,S-dioxide",,6134
"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, (E)-",,3662778
"Oxazole, 2-phenyl-",,29641
"1,5,9-Undecatriene, 2,6,10-trimethyl-, (Z)-",,192631
1-Isoquinolinecarbonitrile,,250773
"7-Methoxy-2,3-dihydro-2-phenyl-4-quinolone",,13460
"4-Phenylimidazo[1,2-c]quinazoline",,58737
"p-Anisic acid, 4-nitrophenyl ester",,35657
"Benzonitrile, 4-(chloromethyl)-",,29739505
tert-butyl (alpha) trimethylacetate,,62158
Methyl p-(2-hydroxyethyl)benzyl sulfoxide,,14359
"2-Oxetanone, 4-methyl-, (.+/-.)- ",,16160
"Benzoic acid, 4-methyl-",,51524
Dibutyl phthalate,,39223
"trans-2,3-di(ethoxycarbonyl)-bicyclo[2.2.2]oct-5-ene",,39506
"(+-)-Ethyl 1,4,5,6-tetrahydro-5-hydroxy-5-methyl-6-oxo-2-pyridinecarboxylate",,43529
1-[(p-Methylphenyl)amino]acetone Oxime,,6116
"Phenol, 3-methyl-5-(1-methylethyl)-, methylcarbamate",,116769
"2,3,3a,4,7,7a-Hexahydro-5-methylind-5-en-1-one ethylene ketal",,30354
"4-Benzyl-3-ethoxy-1,4-dihydro-4-hydroxy-1-phenylisoquinoline",,6884
(4S)-4-tert-Butyl-3-[(E)-4'-ethoxy-2'-oxo-3'-butenoyl]oxazolidin-2-one,,7946
Benzamide,,51229
trans-2-Methyl-4-(bromomethyl)-.gamma.-thiobutyrolactone,,44258
3-Amino-6-chloro-1-(Cyclohexenyl)hept-2-en-1-one,,10051
"3-(3'-Oxo-2',3'-dihydro-1H-isoindol-1'-yl)-3-buten-2-one",,25731
"2-Propanone, 1,1,1,3,3-pentachloro-",,4487
"2,4-DIONE-1,3-BENZODIOXAN",,30636
(Z)-6-(Tetrahydropyran-2-yloxy)-1-trimethylsilylhex-2-ene,,17412
"Benzoic acid, 2-phenylethyl ester",,32792
"tert-Butyl (3,5-di-tert-butylphenyl) sulfide",,8467
