Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara
Ethyl 2-oxirane-2-acetate,27619,2726
Ethyl 9-hexadecenoate,591454,630589
Ethyl 9-tetradecenoate,1062241,985779
Ethyl Acetate,2802236,17074470
Farnesol ,147789,54087
"Formic acid, 2-methylpropyl ester",240226,176660
"Furan, tetrahydro-2,2,5,5-tetramethyl-",2498631,159166
"Heptane, 4-methyl-",552149,445074
"Hexadecanoic acid, ethyl ester",309066,325978
Hydrogen isocyanate,553409,5499390
Indole,91290735,91075230
Isophthalaldehyde,116431,306298
isopropyl(trans-2-methylcyclopentyl)isopropoxyborane,26420,41179
Lauryl acetate,586972,2812201
"Methane, isocyanato-",248294,19425
Methoxycyclopentaneacetonitrile,38939,12954
Methyl Isobutyl Ketone,1219293,1008541
"methyl tetradeca-12,13-dienoate ",53029,13559
N'-(Iodotetrafluoroethoxytetrafluoroethyl)sulfonyl-N-(diethylamino)cyclopent...,8870,9563
N-Allylacetamide,7366,6450
OCTADECAMETHYLCYCLONONASILOXANE ,170547,187479
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",3770335,3952762
"Orthoformic acid, triisobutyl ester",5180082,4919141
p-Cresol,141129,86461
Pentanoic acid,265742,254159
Phenol,142065,134417
"Phthalic acid, butyl cyclobutyl ester",53103,58425
"Propanoic acid, 3-chloro-, 4-formylphenyl ester",15974,24435
"Propanoic acid, decyl ester",127462,87374
"Propanoic acid, ethyl ester",3897536,5038912
"Pyrazine, 2-ethyl-6-methyl-",372818,337906
Quinoline,35983,41028
"Terbutaline, N-trifluoroacetyl-O,O,o-tris(trimethylsilyl)deriv.",28427,32235
TETRACOSAMETHYLCYCLODODECASILOXANE ,537233,544282
"Tetradecanoic acid, ethyl ester",888560,1332755
Toluene,6497146,5733559
trans-1-Butyl-2-methylcyclopropane ,21797,14920
(E)-2-(But-2-enyloxy)-N-methoxy-N-methylacetamide,38021,
"(2S,3S)-3-Methoxy-2,4-dimethylpentanol",31119,
3-Oxobutyramide,240570,
"Cyclohexanone, 3-methyl-",17985,
t-Butyl 2-methylsuccinate,98419,
tris(Trimethylphosphane) rhodium chloride,20584,
Butyl trifluoroacetate,97751,
"Bis(3,4-dimethoxycinnamoyl)-L-tartaric acid",7829317,
2-O-methylbaeomycesic acid,15856609,
1-(2-Methylphenyl)pentan-1-one,841614,
Bis(4-methylpiperazin-1-yl)methane,1404148,
2-Methyl-1-cyclopentanol,173395,
"Isopropyl 3,7,11-trimethyl-11-methoxy-2-.xi.-dodecenoate",46551,
"Cyclopentanone, 2,4,4-trimethyl-",1272444,
2-amino-3-furfuryloxybenzoic acid,37479,
N-Methylformide ,496926,
"2-Propanol, 2-methyl-",578391,
5-{Ethoxycarbonyl}-N(1)-[3'-(N,18403,
Acetonitrile-d3,102682,
Allyl Butyl Ether,145639,
Methylene chloride,176035,
"1,3-Dimethyl-3-(2-propyl)azetidine-2,4-dione",33718,
"3,5-Dimethylbutyrolactone ",5290,
3-(2'-N-tert-Butoxycarbonylaminoethyl)cyclohex-2-en-1-one,2435207,
"2,7-exo-4,11,6-Dioxazatricyclo[6.2.1.0(2,7)]undec-9-ene-3,5-dione",10833,
5-(1-Methyl-1-methoxyethoxy)-1-tetrahydropyranyloxypentene,105468,
"[1R*,5S*]-1-(Phenylsulfonyl)-2-oxo-3-oxabicyclo[3.1.0]hexane",1074,
"Ether,1- propenyl propyl",592691,
anti-3-Methyl-5-methylenenon-2-en-4-ol,35851,
N-Methyl-2-isopropoxycarbonylazetidine,48080,
"1,3-diacetoxypropa-2-one",205820,
Propyl pyruvate,254535,
"Methyl (2RS,3SR,4RS)-2-phenyl-4-(phenylseleno)tetrahydro-3-furancarboxylate",15141,
"1,3-Dioxolane, 2-hexyl-",173596,
"DL-2,3-Butanediol",156891,
"Pentane, 1-propoxy-",122649,
4-Azido-3-bromobenzene,23368,
"1-Propene, 3-fluoro-",318554,
"Hydrazine, 1,1-dimethyl-",526961,
"2,3-Pentanedione",49111,
(S)-3-tert-Butylperoxy-1-cyclohexene,559,
1-(1-Ethoxyethoxy)-5-pentanol,16232,
"Disulfide, dimethyl",8622641,
"3,5,7-Trimethyloxepan-2-one",36633,
(RS)-4-(tert-Butoxy)-3-methylbutanal,19401,
"2,3-Dimethylsuccinodinitrile",65682,
"Propanoic acid, 2-methylpropyl ester",87239,
"Pentane, 2,2,4-trimethyl-",29822,
"Furan, 2,3-dihydro-4-methyl-",212281,
Thiazole,8820,
CROTONIC ANHYDRIDE,53302,
.alpha.-Methylbenzylnitrile,26504,
3-Methyl-1(E)-3butadienyl tert-butyl sulfide,122330,
(-)-Lavandulol ,40539,
2-carbomethoxy-bicyclo[2.2.1]heptane(exo) ,19706,
Hydrazino(3-phenylsydnon-4-yl)methanone oxime,9550,
"2,2-Dimethyl-3-(2-methyl-1-propyl)cyclobutanone",95900,
"1,3-Propanediol, 2-methyl-2-propyl-, dicarbamate",90966,
Cyclopropane,161842,
"Hexanoic acid, 5-oxo-, methyl ester",129673,
methyl monoterpenyl succinate,4985,
"3,3-dimethyl-2-phenylbutyl phenyl sulfone",11239,
(+-)-3-Hydroxy-2-methylenepentanoic acid,22200,
Diisobutyl cellosolve,131838,
.alpha.-(3-hydroxyphenoxy)acetophenone,364792,
Methyl trifluoroacetate,283105,
(S)-4-Aminobenzyl methyl sulfide,50897,
"3-Penten-2-one, 3-methyl-",1783338,
1-Nitro-2-(but-3-enyl)cyclohexane,23518,
methyl hydroxycarbamoyldiazirine-3-carboxylate,96350,
(R)-1-(Methoxyethoxymethoxy)methyl-1-methyloxirane,554746,
"N,N-Dimethyl-2,2-bis(1'-naphthyl)acetamide",76205,
"N-(Tosylmethyl)-2,2-dimethylpropanamide",114471,
"2,3,5,7,15-Pentaacetoxy-8-(tigloyloxy)-9,14-dioxo-Jatropha-6(17),11(E)-diene",4108,
Bicyclo[2.1.0]pentane ,57936,
4-Picolyl butyl ether ,6894,
"(RS)-3,4-Dihydro-4-methyl-2-pyridone",176544,
"Butane, 1-chloro-",930664,
"3-Heptanone, 2,4-dimethyl- ",70717,
"2,5-Dimethylhexane-2,5-dihydroperoxide",4217153,
"1-O-Acetyl-2-azido-2,3,6-trideoxy-.alpha.-DL-ribo-hexopyranose",9933,
"2-Propenoic acid, methyl ester",19493,
2-Heptanone,933651,
1-Methoxyhexan-2-ol ,68010,
2-Pyridinecarboxylic acid,67307,
"2(3H)-Furanone, dihydro-5-propyl-",46333,
"4-Allyl-5,5-dimethylcyclohexane-1,3-dione",680,
"1-Cyano-2,6-dimethyl-1,5-heptadien-3-ol",19282,
rac-(+-)-2-(tert-Butylsulfonyl)pentyl acetate,314429,
exo-3-(Phenylsulfonyl)bicyclo[3.2.1]octan-8-one,116756,
"Propanal, 2-methyl-",134488,
"4-Ethylene Ketal of t-5,c-10-Dimethyl-r-1H-bicyclo[5.3.0]dec-6-ene-4,8-dione",56694,
E-Citral ,42589,
2-Acetyl-2-methyltetrahydrofuran,131592,
"3,5-Diamino-1,2,4-triazole",125442,
"2,6-Dimethylhepta-1,5-diene-5,5-dicarbonitrile",48161,
"Ethyl (2'-nitro-3'-oxo-6',7'-dihydro-3H,5H-benzo[ij]quinolizin-1'-yl)-cyanoa...",31125,
N-Methoxy-N-methylpropionamide,20686,
"(1S,6R)-6-Methyl-3-isopropyl-5-oxocyclohex-3-enecarbonitrile",287104,
(S)-2-Ethyl-5-oxotetrahydrofuran-2-carboxylic acid,94845,
t-Butyl .alpha.-Cyano-.alpha.-(formylamido)-.beta.-(p-methylphenyl)propanoate,13244,
p-Methylhydrocinnamic acid ,4145,
"1-Butanol, 3-methyl-",9099000,
"1-(exo)-dimethoxymethyl-4,7-bis(trifluoromethyl)-1a,5,7a,7b-tetrahydro-1H-cy...",1858955,
1-METHOXY-1-(TRICHLOROMETHYL)CYCLOHEXANE,12184,
4-Ethyl-2-methylpyrrole-3-carbonitrile,53722,
N-(But-2-enoyl)prop-2-enamide,158656,
"1,1,2,2,3-hexafluoro-4-decanone ",19883,
"1,3-Benzenediol, monobenzoate",11222,
1-Acetoxymethyloxyundec-10-ene,23144,
Cyclopropylmethyl cyclopropane-1-carboxylate,6412,
"Disulfide, dihexyl",85100,
"2,2,6-Trimethyl-4H-1,3-dioxin-4-one",2525002,
"N-Allyl-N,N-dimethylamine",2206481,
"3,3',5,5'-TETRAMETHYL-1,1'-BIADAMANTE",58604,
"Ethyl 4-(chloromethylene)-2,2-diphenyl-3-oxazoline-5-carboxylate",423285,
Octyl Trifluoromethylsulfoxide,53415,
(S)-3-Amino-4-cyclohexyl-2-methylbutan-2-ol,50403,
"N-(1'-Ethyl-4'-piperidinyl)-2-methoxy-5-[N-methyl-N-(4""-toluenesulfonyl)amin...",82663,
"2-Methyl-1,4-butanediol",238813,
"1-Propene, 2-methyl-",217964,
"Dimethyl 1,3,3-trimethylcyclobutan-1-ol-2,4-dicarboxylate",2402,
