Name,EPI300_pCC1_ATF1_Ara,EPI300_pCC1_ATF1_Ara_iAAL
"Ethanone, 1,1'-(1,4-phenylene)bis-",46803,45300
"Ethanone, 1-(2,3,4-trimethylphenyl)-",90345,124204
"Ethanone, 1-(2,4-dimethylphenyl)-",360138,334006
Ethyl 9-hexadecenoate,630589,684634
Ethyl 9-tetradecenoate,985779,997916
Ethyl Acetate,17074470,17329199
Farnesol ,54087,41841
"Formic acid, decyl ester",431858,383907
"Hexadecanoic acid, ethyl ester",325978,331071
"Hexane, 3,3-dimethyl-",68601,37635
"Hexane, 3-ethyl-4-methyl-",179106,117059
Indole,91075230,95764916
Isobutyl acetate,992744,641751
Isophthalaldehyde,306298,295289
Lauryl acetate,2812201,2605343
Levulinamide,50815,39708
"Methane, sulfinylbis-",143436,93434
"Methyl ester of 2S-(1,2,3,4,4a,5,6,7,8,8a.alpha.-Decahydro-1.alpha.,5.beta.-...",124881,141527
Methyl Isobutyl Ketone,1008541,1027198
"N-[(2E),(1S)-1-(Methylethyl)-5-oxohex-2-enyl](tert-butoxy)carboxamide",31143,13637
OCTADECAMETHYLCYCLONONASILOXANE ,187479,201659
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",3952762,3926400
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",2143512,2092249
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",996148,1114745
"Oxazole, 2-phenyl-",29641,33228
"Oxetane, 2,3,4-trimethyl-, (2.alpha.,3.alpha.,4.beta.)-",968984,204854
"p-Anisic acid, 4-nitrophenyl ester",35657,38349
p-Cresol,86461,93508
p-Methylbenzyl acetate,3527711,4198845
Phenol,134417,127876
piperidine hydrochloride ,24271,25125
Propanal,1151736,345913
"Propanoic acid, decyl ester",87374,76314
"Propanoic acid, ethyl ester",5038912,5405798
"Pyrazine, methyl-",451638,418088
"Terbutaline, N-trifluoroacetyl-O,O,o-tris(trimethylsilyl)deriv.",32235,25657
"tert-Butyl (3,5-di-tert-butylphenyl) sulfide",8467,16043
tert-Butyl-N-(2-fluoro-2-(1-methylvinyl)-4-pentylidene)amine,115812,100185
"Tetradecanoic acid, ethyl ester",1332755,1011669
Toluene,5733559,5219280
"trans-2,3-di(ethoxycarbonyl)-bicyclo[2.2.2]oct-5-ene",39506,42704
"trans-Methyl 2-methyl-3-(2-hydroxyphenyl)-3,4-dihydro-1(2H)-isoquinoline-4-c...",40521,46313
( 18-O )-.beta.-Butyrolactone,,19731
( 18-O )-.beta.-Propiolactone,,39930
"(+)-(1R,4R,5S,6S)-5-exo,6-endo-dihydroxy-7-oxabicyclo[2.2.1]heptan-2-one",16604,
"(+)-(1S)-2-(3,4-Dimethoxyphenyl)-1-(3-methoxyphenyl)ethylamine",,37478
"(+)-(2S,1R",,Find by Chromatogram Deconvolution
(+)-Coronafacic acid,3865241,
"(+-)-(1S,2E,4E)-1-Methylpenta-2,4-dien-1-yl acrylate",1426,
"(+-)-(2s*,3r*,4r*,5r*)-tetrahydro-5-isobuty-2,3-dimethyl-4-(phenylthio)-3-fu...",63129,
