Name,PC1,PC2
"3,3-Bis(methoxymethyl)oxacyclobutane",0.037257441655117476,0.0031286397128514154
N-Methyl-2-isopropoxycarbonylazetidine,0.03725736316319048,0.0031286756807817487
"1-D1-1,2,4-TRIAZOLE",0.03725630441320607,0.003052983755753633
"(2R,5R)-2-tert-Butyl-5-(N,N-dimethylaminomethyl)-1-aza-3-oxabicyclo[3.3.0]oc...",0.03725584145777958,0.003052699472800121
"2,5-Anhydro-3,4,6-trideoxy-6-azido-D-iditol",0.03725504147961768,0.003129718470735698
2-(trans-2-Methyl-2-butenoxy)cycloheptene,0.037254346939723564,0.003130022828856362
"Butane, 2-isocyanato-",0.037251984526013006,0.0030503894261230376
"1,3-Bis(5-t-butylsilicyl)benzene",0.037251675999779084,0.0030502088740438863
"exo-Tetracyclo[4.4.1.1(2,5).0(7,10)]dodeca-3,8-diene",0.03725043984484948,0.0030494913389583437
"N-(1'-Ethyl-4'-piperidinyl)-2-methoxy-5-[N-methyl-N-(4""-toluenesulfonyl)amin...",0.037249025854349416,0.0031322504876984828
"(S)-3,9-dimethyl 6-(1-methylethyl) (E)-5,8-decadien 1-ol",0.03724531118517438,0.003046607230446782
n-Decanoic acid,0.03724456174388142,0.0030461973378416675
"3,3-dimethyl-2-phenylbutyl phenyl sulfone",0.03724227666288778,0.0030449642018312807
"trans-2-(2-Ethenylcyclohexyl)-2-methyl-1,3-dioxolane",0.03724181318103472,0.003135018313373861
"p-Toluic acid, 3,4-dichlorophenyl ester",0.037241532830017104,0.003044567997242671
5-Propyltetrahydropyran-2-one,0.03724040097371877,0.0030439698120595217
"Carbonic acid, monoamide, N-propyl-, benzyl ester",0.037239032244048675,0.00313602011005825
Chromonar,0.03723526837607697,0.0031373254781862335
(RS)-4-(tert-Butoxy)-3-methylbutanal,0.03723492310097365,0.0030411495449076927
"syn-(1RS,2'SR(E))-2-(3'-Amino-2'-methylpropylidene)cyclohexanol",0.03723446851577002,0.003137595887577688
1-Octanol,0.037234001525657714,0.003040686438866208
(S)-.alpha.-Isopropyl-.beta.-nitropropanenitrile,0.03723307643723589,0.003138060963108223
Ethylene glycol monoisobutyl ether,0.03723304948796272,0.0031380698983296943
3-Pentadecanone,0.03723294520627906,0.0030401593880285674
"Propanal, 2-methyl-",0.03723201402342046,0.0030396980284685075
3-(2'-N-tert-Butoxycarbonylaminoethyl)cyclohex-2-en-1-one,0.037230627820629934,0.00313886258306586
Methylenecyclopropanecarboxylic acid,0.037228818356582705,0.0030381369339994024
"1-BENZYLOXYMETHYL-1-HYDROXYMETHYL-2,5-CYCLOHEXADIENE",0.03722869301869255,0.0030380763833013818
"2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-",0.03722869012514441,0.0030380749860169287
Decanoic acid,0.03722853974773833,0.0031395304103366763
"1-Propene, 3-fluoro-",0.037228381451394024,0.003139580468729345
"[1R-(1.alpha.,2.alpha.,6.alpha.)]3,7,7-Trimethylbicyclo[3.1.1]hept-3-ene-2-t...",0.03722810157460618,0.003037791325336448
3-Hexadecanone,0.03722517958888067,0.003036398757453742
"2-Methyl-1,4-butanediol",0.03722510596633277,0.00314059903096255
2-Methyl-7-nitrobenzo[b]furan,0.03722055961110731,0.00303424722676618
Acetonitrile-d3,0.03722040960685165,0.0030341783452061703
"1,1,2,2,3-hexafluoro-4-decanone",0.03721951411846283,0.0030337683653934577
testosterone 17b-acetate TMS,0.03721677343693178,0.0030325263216536558
"1,2-Ethanediol, monoacetate",0.03721625633707857,0.0030322940683850594
"2,3-Dimethylsuccinodinitrile",0.03721553657541031,0.003031971865979235
"Heptan-2,3,6-trione",0.03721485456285766,0.0030316677026422196
3-Oxobutyramide,0.0372114534270585,0.0031445306575417077
"N-(Tosylmethyl)-2,2-dimethylpropanamide",0.03720773278639054,0.0030285543758514603
"5,7-Epoxy-5H-naphtho[1,8a-b]furan, 2-propenoic acid deriv.",0.0372069293295579,0.0030282099658632423
"Piperidine, 1-acetyl-",0.037206080913653926,0.0030278477081549923
S-Cyclopropyl Cyclopropanethiosulfonate,0.037199905817362336,0.0030252532133176408
6-Methylbenzimidazole-2-sulfonic acid,0.03719905040682143,0.003024899401312236
1-METHOXY-BUT-2-YNE,0.03719800359449828,0.00302446819346358
"1-tert-Butyl-1,4-dihydro-4-(1-methylethyl)-5H-tetrazol-5-one",0.03719757520721735,0.0031481024172019447
