Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara_iAAl,,,,,,,
Methoxycyclopentaneacetonitrile,72377,,,,,,,,
"2-Methyl-1,4-butanediol",443890,,,,,,,,
"1-Propene, 2-methyl-",405138,,,,,,,,
"Dimethyl 1,3,3-trimethylcyclobutan-1-ol-2,4-dicarboxylate",4465,,,,,,,,
"3-Oxa-7-thiatricyclo[3.3.0.0(2,4)]octane 7,7-dioxide",517297,,,,,,,,
"(1R,2R)-1,2-Dihydroxy-3-cyclohexene",63113,,,,,,,,
Methyl 2-Butenyl Ether,50004,,,,,,,,
Ethyl 2-Nonylacrylate,170593,,,,,,,,
"N,N-diethyl-2-(2-(2-phenylethylcarbonyl)phenoxy)ethamine",10597,,,,,,,,
"(1R,2R)-2,3-Dibenzyloxy-1-[2-(1,3-dioxolan-2-yl)]ethylpropyl methanesulfanate",60684,,,,,,,,
"trans-3-Hexene-2,5-dione",480184,,,,,,,,
4-Hydroxy-4-phenylcyclohexanone - ethylene ketal,368046,,,,,,,,
"2,2,5,5-Tetramethylhexane-3,4-diol",454773,,,,,,,,
"2-[(E)-Buta-1,3-dienylmethyl]cyclohexylmethyl acrylate",145643,,,,,,,,
3-Methoxy-2-propenal ,22141,,,,,,,,
".alpha.-Carboxy-.alpha.-methyl-.gamma.,.gamma.-dimethyl-.gamma.-butyrolactone",69520,,,,,,,,
"4-Heptanol, 4-methyl-",748277,,,,,,,,
"(7Z,11Z)-Hexadecadienal",64257,,,,,,,,
3-Pentanone,67115,,,,,,,,
"6,7-Bis(hydroxymethyl)-3-thiabicyclo[3.2.0]heptane 3,3-dioxide",39303,,,,,,,,
"Piperidine, 1-acetyl-",126888,,,,,,,,
"1-(Iodomethyl)-2,2-dimethylcyclopentane",121625,,,,,,,,
Chromonar ,61918,,,,,,,,
"(1R*,2R*)-Dimethylcyclopentan-1-ol",47682,,,,,,,,
"2,2,5,5-Tetradeuteriomethoxycyclohexane",7459,,,,,,,,
Vinyl N-cyclohexylcarbamate,261463,,,,,,,,
1-AZIDO-1-PHENYLETHYLENE ,14714,,,,,,,,
(Z)-4-aminocrotonic acid ,42115,,,,,,,,
trans-isopropyl(phenyl-seleno)sulfine,2215530,,,,,,,,
