Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara
3-Oxobutyramide,447156,
"Cyclohexanone, 3-methyl-",33429,
t-Butyl 2-methylsuccinate,182935,
tris(Trimethylphosphane) rhodium chloride,38260,
Butyl trifluoroacetate,181693,
"Bis(3,4-dimethoxycinnamoyl)-L-tartaric acid",14552634,
2-O-methylbaeomycesic acid,29473251,
1-(2-Methylphenyl)pentan-1-one,1564338,
Bis(4-methylpiperazin-1-yl)methane,2609941,
2-Methyl-1-cyclopentanol,322296,
"Isopropyl 3,7,11-trimethyl-11-methoxy-2-.xi.-dodecenoate",86526,
"Cyclopentanone, 2,4,4-trimethyl-",2365138,
2-amino-3-furfuryloxybenzoic acid,69664,
N-Methylformide ,923654,
"2-Propanol, 2-methyl-",1075076,
5-{Ethoxycarbonyl}-N(1)-[3'-(N,34206,
Acetonitrile-d3,190859,
Allyl Butyl Ether,270704,
Methylene chloride,327203,
"1,3-Dimethyl-3-(2-propyl)azetidine-2,4-dione",62673,
"3,5-Dimethylbutyrolactone ",9833,
3-(2'-N-tert-Butoxycarbonylaminoethyl)cyclohex-2-en-1-one,4526407,
"2,7-exo-4,11,6-Dioxazatricyclo[6.2.1.0(2,7)]undec-9-ene-3,5-dione",20136,
5-(1-Methyl-1-methoxyethoxy)-1-tetrahydropyranyloxypentene,196037,
"[1R*,5S*]-1-(Phenylsulfonyl)-2-oxo-3-oxabicyclo[3.1.0]hexane",1996,
"Ether,1- propenyl propyl",1101656,
anti-3-Methyl-5-methylenenon-2-en-4-ol,66638,
N-Methyl-2-isopropoxycarbonylazetidine,89368,
"1,3-diacetoxypropa-2-one",382565,
Propyl pyruvate,473113,
"Methyl (2RS,3SR,4RS)-2-phenyl-4-(phenylseleno)tetrahydro-3-furancarboxylate",28143,
"1,3-Dioxolane, 2-hexyl-",322669,
"DL-2,3-Butanediol",291619,
"Pentane, 1-propoxy-",227972,
4-Azido-3-bromobenzene,43435,
"1-Propene, 3-fluoro-",592108,
"Hydrazine, 1,1-dimethyl-",979481,
"2,3-Pentanedione",91284,
(S)-3-tert-Butylperoxy-1-cyclohexene,1039,
1-(1-Ethoxyethoxy)-5-pentanol,30171,
"Disulfide, dimethyl",16027214,
"3,5,7-Trimethyloxepan-2-one",68091,
(RS)-4-(tert-Butoxy)-3-methylbutanal,36061,
"2,3-Dimethylsuccinodinitrile",122086,
"Propanoic acid, 2-methylpropyl ester",162154,
"Pentane, 2,2,4-trimethyl-",55431,
"Furan, 2,3-dihydro-4-methyl-",394574,
Thiazole,16394,
CROTONIC ANHYDRIDE,99074,
.alpha.-Methylbenzylnitrile,49264,
3-Methyl-1(E)-3butadienyl tert-butyl sulfide,227379,
(-)-Lavandulol ,75351,
2-carbomethoxy-bicyclo[2.2.1]heptane(exo) ,36628,
Hydrazino(3-phenylsydnon-4-yl)methanone oxime,17751,
"2,2-Dimethyl-3-(2-methyl-1-propyl)cyclobutanone",178253,
"1,3-Propanediol, 2-methyl-2-propyl-, dicarbamate",169082,
Cyclopropane,300822,
"Hexanoic acid, 5-oxo-, methyl ester",241028,
methyl monoterpenyl succinate,9266,
"3,3-dimethyl-2-phenylbutyl phenyl sulfone",20890,
(+-)-3-Hydroxy-2-methylenepentanoic acid,41264,
Diisobutyl cellosolve,245052,
.alpha.-(3-hydroxyphenoxy)acetophenone,678052,
Methyl trifluoroacetate,526217,
(S)-4-Aminobenzyl methyl sulfide,94604,
"3-Penten-2-one, 3-methyl-",3314755,
1-Nitro-2-(but-3-enyl)cyclohexane,43714,
methyl hydroxycarbamoyldiazirine-3-carboxylate,179089,
(R)-1-(Methoxyethoxymethoxy)methyl-1-methyloxirane,1031126,
