Name,EPI300_pCC1_ATF1_Ara,EPI300_pCC1_ATF1_Ara_iAAL
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,967216,736682
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,962313,774368
Dimethyl ether,104966530,87012276
"Disulfide, diphenyl",153716,17891
Dodecanoic acid,699337,101512
"Dodecanoic acid, ethyl ester",1830331,1535342
"Ethane, hexafluoro-",371012,323060
"Ethanone, 1,1'-(1,4-phenylene)bis-",92863,73420
"Ethanone, 1-(2,3,4-trimethylphenyl)-",179256,201303
"Ethanone, 1-(2,4-dimethylphenyl)-",714560,541339
Ethyl 9-hexadecenoate,1251169,1109618
Ethyl 9-tetradecenoate,1955911,1617368
Ethyl Acetate,33877917,28086222
Farnesol ,107315,67814
"Formic acid, decyl ester",856861,622216
"Hexadecanoic acid, ethyl ester",646782,536582
"Hexane, 3,3-dimethyl-",136113,60997
"Hexane, 3-ethyl-4-methyl-",355369,189723
Indole,180704821,155210561
Isobutyl acetate,1969730,1040115
Isophthalaldehyde,607734,478588
Lauryl acetate,5579764,4222598
Levulinamide,100823,64357
"Methane, sulfinylbis-",284595,151433
"Methyl ester of 2S-(1,2,3,4,4a,5,6,7,8,8a.alpha.-Decahydro-1.alpha.,5.beta.-...",247780,229379
Methyl Isobutyl Ketone,2001073,1664827
"N-[(2E),(1S)-1-(Methylethyl)-5-oxohex-2-enyl](tert-butoxy)carboxamide",61792,22102
OCTADECAMETHYLCYCLONONASILOXANE ,371982,326838
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",7842782,6363695
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",4253000,3391003
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",1976484,1806718
"Oxazole, 2-phenyl-",58812,53854
"Oxetane, 2,3,4-trimethyl-, (2.alpha.,3.alpha.,4.beta.)-",1922587,332016
"p-Anisic acid, 4-nitrophenyl ester",70748,62154
p-Cresol,171550,151553
p-Methylbenzyl acetate,6999427,6805259
Phenol,266700,207254
piperidine hydrochloride ,48157,40721
Propanal,2285190,560637
"Propanoic acid, decyl ester",173361,123686
"Propanoic acid, ethyl ester",9997841,8761423
"Pyrazine, methyl-",896107,677614
"Terbutaline, N-trifluoroacetyl-O,O,o-tris(trimethylsilyl)deriv.",63958,41583
"tert-Butyl (3,5-di-tert-butylphenyl) sulfide",16800,26002
tert-Butyl-N-(2-fluoro-2-(1-methylvinyl)-4-pentylidene)amine,229786,162374
"Tetradecanoic acid, ethyl ester",2644355,1639658
Toluene,11376109,8459125
"trans-2,3-di(ethoxycarbonyl)-bicyclo[2.2.2]oct-5-ene",78385,69212
"trans-Methyl 2-methyl-3-(2-hydroxyphenyl)-3,4-dihydro-1(2H)-isoquinoline-4-c...",80399,75062
"(+)-(1R,4R,5S,6S)-5-exo,6-endo-dihydroxy-7-oxabicyclo[2.2.1]heptan-2-one",32944,
(+)-Coronafacic acid,7669129,
