Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAL
"(5S,6R)-4,5-Dimethyl-6-phenyl-3,4,5,6-tetrahydro-2H-1,3,4-oxadiazin-2-one",30269,
"(6-Methyl-1,4-dioxaspiro[4,5]decan-6-yl)methanol",,3852
"(7Z,11Z)-Hexadecadienal",34570,
(Dimethylamino)ethyl methacrylate,,130602
"(E)-1,3-Bis(1-hydroxycyclohexyl)propene",94421,
(E)-1-(Hex-2-enyloxy)butan-2-one,30760,
(E)-1-Benzenesulfonyl-3-methyl-4-bromo-2-butene,,7878
(E)-1-butyl-2-butenyl Vinyl Ether,,99656
(E)-2-(1-Hydroxy-1-methylethyl)-2-(methylthio)thiolane 1-oxide,,11500
"(E)-2-(1-Hydroxy-2,2-dimethylpropyl)-2-(methylthio)thiolane 1-oxide",38486,
"(E)-2-(2-Methylpropylidene)-5,5-dimethylcyclopentanol",,29899
(E)-2-(But-2-enyloxy)-N-methoxy-N-methylacetamide,38021,
(E)-2-Tetradecen-1-ol,38264,
"(E)-3-Isobutylidenehexane-2,5-dione",,80368
"(E)-3-methyl-2,4-pentadien-1-ol",,
"(E)-5,5-Difluoro-4-hydroxy-2-dodecen-6-one",22663,
(E)-7-Dodecen-1-ol,,35744
"(E)-8-Bromoocta-1,5-dien-3-ol",,3488
(E)-Methacrolein oxime,200390,
(E)-Oct-2-en-4-one,84639,
"(E,Z)-6-Phenyl-5,11-didecadienal",7654,
(R)-(+)-4-Iodo[2.2]paracyclophane,,50504
(R)-1-(Methoxyethoxymethoxy)methyl-1-methyloxirane,554746,
"(R)-2-[3,3,3-D3]methylpropanoic acid",13171,
"(R)-4-Methyl-6-(phenylmethoxy)hexane-1,4-diol",10689,
"(R*,R*)-1,2-Cyclohexanedimethanol",,22143
"(R,R)-(+)-3-(2-Oxopyrrolidin-3-yl)butanoic acid",662822,
"(RS)-3,4-Dihydro-4-methyl-2-pyridone",176544,
(RS)-4-(tert-Butoxy)-3-methylbutanal,19401,
(S)-.alpha.-Isopropyl-.beta.-nitropropanenitrile,68214,
(S)-1-(2-Methoxyethyl)-3-aminopyrrolidine,,57271
(S)-2-Ethyl-5-oxotetrahydrofuran-2-carboxylic acid,94845,
"(S)-3,4-Dimethylpentanol",348081,
(S)-3-Amino-4-cyclohexyl-2-methylbutan-2-ol,50403,
(S)-3-tert-Butylperoxy-1-cyclohexene,559,
(S)-4-Aminobenzyl methyl sulfide,50897,
(S)-4-Hydroxypent-2-enal,,39578
"(S)-N-(2-Acetoxypropionyl)bornane-10,2-sultam",,36713
(tert-Butylsulfonyl)benzene,8974,
(tosyloxy)methyl 2-pyridinyl ketone,,3761
"(trans)-1,2,5-heptatriene",7612,
"(Z)-2,6,6-Trimethyl-.alpha.-(1-propenyl)-2-cyclohexane-1-methanol",,29755
"(Z)-3-Deuterio-N-(2-deuteriomethyl-3,3-dimethylbutyl)-2-methylallylamine",30928,
(Z)-4-aminocrotonic acid,,
(Z)-4-Hyroxy-2-butenamide,,13393
(Z)-5-hexenal oxime,,
.alpha.-(2-Amino-5-methoxy-3-methoxymethoxy-4-methylphenyl)-.alpha.-methylth...,,62446
.alpha.-(3-hydroxyphenoxy)acetophenone,364792,
".alpha.-Carboxy-.alpha.-methyl-.gamma.,.gamma.-dimethyl-.gamma.-butyrolactone",37402,
".alpha.-d-Mannofuranose, cyclic 2,3:5,6-bis(ethylboronate)",,18104
.alpha.-Isobutyl-.alpha.-(formylamino)acetonitrile,40332,
.alpha.-Methylbenzylnitrile,26504,
".beta.-1,5-anhydro-2,3,4,6-tetra-O-methyl-1-C-phenyl-D-glucitol",,36659
.beta.-Myrcene,,
.epsilon.-Methyl-.epsilon.-caprolactone,,306600
"1,1,1,3,5,7,9,11,11,11-Decamethyl-5-(trimethylsiloxy)hexasiloxane",,291619
"1,1,2,2,3-hexafluoro-4-decanone",,
"1,1,2,3-tetrmethylcyclobutane",65887,
"1,1-(Ethylenedioxy)-3-hydroxy-5-(methoxymethyl)-5-methylcycloheptane",,8691
"1,1-Bis(methylseleno)-3-phenyl-2-propene",,188638
"1,1-Dimethoxy-octane",,
"1,1-Dimethylethyl hexanoate",,12837
"1,1-Ethanediol, diacetate",,73469
"1,2,4-Triazin-3-amine, 5,6-dimethyl-",,
"1,2,6,8-Tetramethoxy-7-methyldihydrodibenzo[b,f]cyclohepten-5-one",404065,
"1,2-Ethanediol, monoacetate",506231,
"1,3,2-Dioxaborolan-4-one, 2-ethyl-5-methyl-",,234499
"1,3,5-Heptatriene, (E,E)-",9504,
"1,3-Benzenediol, monobenzoate",11222,
"1,3-Benzenediol, O,O'-di(2-methylbenzoyl)-",,41752
"1,3-Benzenediol, o-(2-furoyl)-o'-(2-methoxybenzoyl)-",31739,
"1,3-Benzenediol, o-(2-methoxybenzoyl)-o'-propargyloxycarbonyl-",27081,
"1,3-Benzenediol, o-(4-ethylbenzoyl)-o'-(3-methylbenzoyl)-",205212,
"1,3-Benzodioxole",736937,
"1,3-Bis(5-t-butylsilicyl)benzene",28278,
"1,3-diacetoxypropa-2-one",205820,
"1,3-dihydro-1-(p-nitrostyryl)isobenzofuran",78995,
"1,3-Dimethyl-3-(2-propyl)azetidine-2,4-dione",33718,
"1,3-Dimethyl-3-propylazetidine-2,4-dione",,163227
"1,3-Dioxane-2-propanol, 2-methyl-",,11972
"1,3-Dioxolane, 2-butyl-2-methyl-",251013,
"1,3-Dioxolane, 2-hexyl-",173596,
"1,3-DIPHENYL-1,3,5,5-TETRAMETHYL-CYCLOTRISILOXANE",,21930
"1,3-Diphenyl-1-((trimethylsilyl)oxy)-1(E)-heptene",,8365
"1,3-Propanediamine, N'-(ethylcarbonimidoyl)-N,N-dimethyl-",847613,
"1,3-Propanediol, 2-methyl-2-propyl-, dicarbamate",90966,
"1,4-Bis[2-[2-(dimethylamino)etoxy]ethenyl]benzene",,2154
"1,4-Butanediol",177142,
"1,4-Diazido-2,5-dimethylcyclohexane",14797,
"1,4-Dioxane-2,5-dione, 3,6-dimethyl-",,615592
"1,4-diphenylbut-3-ene-2-ol",46436,
"1,5-di[O-Acetyl]-2,3,4-tris(O-methyl)-xylitol",,7037
"1,5-Heptadiene, 2,6-dimethyl-",,64753
"1,6-Anhydro-2-chloro-.beta.,D-erythro-hex-3-enpyranose",2013,
"1,6-Di-O-(Ethoxyethoxy)pseudo-D-arabinopyranose [2,3-Dibenzyloxy-1-(ethoxyet...",135628,
"1,8a-Epoxy-1,2,3,4,4a,5,6,7,8,8a-decahydro-1,4a-dimethylnaphthalen-2-ol",,40020
1-(.alpha.-Hydroxybenzyl)cyclopentanol,70538,
"1-(1,3-Dimethyl-1H-pyrazol-4-yl)ethanone",1459963,
1-(1-Ethoxyethoxy)-5-pentanol,16232,
1-(2'-Methylphenyl)-1-pentene,,6619
1-(2-Aminophenyl)ethanone oxime,,18460
1-(2-Methylphenyl)pentan-1-one,841614,
1-(2-Thienyl)ethyl p-tolylsulfone,,7762
"1-(5-Methoxy-2,3-dihydro-1H-inden-1-yl)-3-hydroxypropan-1-one",,55395
1-(bistrifluoromethylamino-oxy)-1-methylcyclohexane,,70285
"1-(but-2'-ynoyl)-3,5-dimethylpyrazole",5182,
"1-(exo)-dimethoxymethyl-4,7-bis(trifluoromethyl)-1a,5,7a,7b-tetrahydro-1H-cy...",1858955,
"1-(Iodomethyl)-2,2-dimethylcyclopentane",65434,
"1-(Methoxyphenyl)-4-phenyl-1,2,4-triazoline-3,5-dione",15410,
"1-[(1-Methoxy-d(3)-2-methyl-1-propenyl)oxy]-1-(1,1-dimethylethyl-d(9))silacy...",,13289
"1-[1,2,4]Triazol-1-ylethanone",307339,
