Compound,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara_iAAL
5-(1-Methyl-1-methoxyethoxy)-1-tetrahydropyranyloxypentene,196037,24502
5-(1-Methyl-1-methoxyethoxy)-1-tetrahydropyranyloxypentene,24208,
5-(2'-oxopropyl)isoxazole ,525362,195619
5-(2'-oxopropyl)isoxazole ,702928,542566
"5-Amino-1-methyl-1H-pyrazole-4-carboxamide, 3TMS",3498991,3439857
"5-Amino-1-methyl-1H-pyrazole-4-carboxamide, 3TMS",4634608,960036
"5-hydroxy-1,2-pentadiene",20414,13567
"5-hydroxy-1,2-pentadiene",,95733
5-{Ethoxycarbonyl}-N(1)-[3'-(N,34206,73229
5-{Ethoxycarbonyl}-N(1)-[3'-(N,155260,
7.ALPHA.-METHACRYLOYLOXY- OR -TIGLINOYLOXY-9.BETA.-METHACRYCOYLOXY-OR -TIGLI...,39171,87818
[5-methyl-3-(3-butenyl)]isoxazole ,135743,1695887
[5-methyl-3-(3-butenyl)]isoxazole ,,267922
[5-methyl-3-(3-butenyl)]isoxazole ,,171737
Acetic acid,6883180,8458389
"Acetic acid, nonyl ester",691190,892838
"Acetic acid, nonyl ester",,125115
Acetone,16165071,11763707
Acetone,,1478203
Acetone,,1469504
"Benzenemethanol, .alpha.-methyl-, propanoate",337844,738815
Benzoic acid,1040225,808446
"Benzoic acid, 3-methyl-, methyl ester",119426,134329
"Benzoic acid, methyl ester",2387677,2447681
Benzyl alcohol,7368589,5899872
"Butane, 2-methoxy-2-methyl-",372859,273225
"Butanoic acid, 2-methylcyclohexyl ester, cis-",172771,152301
"Butanoic acid, 3-methyl-",465608,267558
Chromafenozide,7810558,5357499
cis-2-Carbomethoxy-4-[(1-chloro-1-methyl)ethyl]terahydrofuran,125788,60583
"Cycloheptasiloxane, tetradecamethyl-",1985866,3241794
"Cyclohexasiloxane, dodecamethyl- ",9240859,2726935
"Cyclohexasiloxane, dodecamethyl- ",,8266452
"Cyclohexene, 1-methoxy-",73414,72880
"Cyclononasiloxane, octadecamethyl-",483520,613088
"Cyclooctasiloxane, hexadecamethyl-",773991,690034
"Cyclooctasiloxane, hexadecamethyl-",544931,
"Cyclooctasiloxane, hexadecamethyl- ",534394,520485
Cyclopentadecanone,3474987,3949768
"Cyclopentanone, 2,4,4-trimethyl-",2365138,1642716
"Cyclopentasiloxane, decamethyl-",8974106,4455579
"Cyclopentasiloxane, decamethyl-",,7635746
"Cyclotetrasiloxane, octamethyl-",17060236,15215830
"Cyclotetrasiloxane, octamethyl-",848980,6595167
"Cyclotetrasiloxane, octamethyl-",4773831,3824397
"Cyclotrisiloxane, hexamethyl-",604284,29065580
"Cyclotrisiloxane, hexamethyl-",,483408
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,902946,736682
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,884465,774368
"diethyl 2,6-dimethyl-4-(3-pyridazinyl)-1,4-dihydropyridine-3,5-dicarboxylate",33152,37621
Dimethyl ether,101868907,87012276
"Disulfide, dihexyl",158178,358013
"Disulfide, dimethyl",16027214,14604974
Dodecanoic acid,779729,101512
"Dodecanoic acid, ethyl ester",1122273,1535342
"Ethanone, 1,1'-(1,4-phenylene)bis-",89831,73420
"Ethanone, 1-(2,3,4-trimethylphenyl)-",196727,201303
