Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAl
(E)-2-(But-2-enyloxy)-N-methoxy-N-methylacetamide,70671.00372,629266.2942
"(2S,3S)-3-Methoxy-2,4-dimethylpentanol",57842.00743,9376.163873
"Heptane, 4-methyl-",1026299.257,134610.8007
3-Oxobutyramide,447156.1338,61936.68529
"Butane, 2-methoxy-2-methyl-",372858.7361,33709860.34
"Cyclohexanone, 3-methyl-",33429.36803,351281.1918
t-Butyl 2-methylsuccinate,182934.9442,55864.05959
Ethyl 2-oxirane-2-acetate,51336.43123,1069767.225
Butyl trifluoroacetate,181693.3086,1220076.35
"Bis(3,4-dimethoxycinnamoyl)-L-tartaric acid",14552633.83,9897.579143
2-O-methylbaeomycesic acid,29473250.93,120355.6797
1-(2-Methylphenyl)pentan-1-one,1564338.29,114955.3073
"Furan, tetrahydro-2,2,5,5-tetramethyl-",4644295.539,158139.6648
Bis(4-methylpiperazin-1-yl)methane,2609940.52,20435.75419
2-Methyl-1-cyclopentanol,322295.539,1207452.514
"Isopropyl 3,7,11-trimethyl-11-methoxy-2-.xi.-dodecenoate",86526.0223,299802.6071
"Cyclopentanone, 2,4,4-trimethyl-",2365137.546,321024.2086
2-amino-3-furfuryloxybenzoic acid,69663.56877,5941091.248
N-Methylformide ,923654.2751,268067.0391
"2-Propanol, 2-methyl-",1075076.208,45152.70019
Acetonitrile-d3,190858.7361,259171.3222
Allyl Butyl Ether,270704.461,181202.9795
Methylene chloride,327202.6022,870607.0764
Benzene,2152016.729,1178048.417
"1,3-Dimethyl-3-(2-propyl)azetidine-2,4-dione",62672.86245,4929.236499
"3,5-Dimethylbutyrolactone ",9832.713755,162916.2011
N-Allylacetamide,13691.44981,28439.47858
3-(2'-N-tert-Butoxycarbonylaminoethyl)cyclohex-2-en-1-one,4526407.063,443940.4097
2-(Dibromomethyl)tetrahydropyran,26234.20074,72318.43575
4-Methyl-2H-pyran,207622.6766,292338.9199
"Formic acid, 2-methylpropyl ester",446516.7286,1785998.138
2-Pentanone,8538198.885,3789171.322
5-(1-Methyl-1-methoxyethoxy)-1-tetrahydropyranyloxypentene,196037.1747,248418.9944
"(3S,4S)-Hept-1-en-6-yne-3,4-diol",328782.5279,8416154.562
5-Hexen-3-one,314613.3829,325709.4972
"Ether,1- propenyl propyl",1101656.134,32022.34637
Methyl Isobutyl Ketone,2266343.866,11428.3054
N-Methyl-2-isopropoxycarbonylazetidine,89368.02974,24472.99814
"1,3-diacetoxypropa-2-one",382565.0558,1470495.345
"2,2-dimethyl-1-nitropropane ",183671.0037,203052.1415
Propyl pyruvate,473113.3829,834601.4898
"Methyl (2RS,3SR,4RS)-2-phenyl-4-(phenylseleno)tetrahydro-3-furancarboxylate",28143.12268,74774.67412
"1,3-Dioxolane, 2-hexyl-",322669.145,141022.3464
"DL-2,3-Butanediol",291618.9591,199925.5121
Toluene,12076479.55,59115.45624
"Pentane, 1-propoxy-",227972.119,6495.344507
4-Azido-3-bromobenzene,43434.94424,68986.96462
"1-Propene, 3-fluoro-",592107.8067,87169.45996
"Hydrazine, 1,1-dimethyl-",979481.4126,36631.28492
(S)-3-tert-Butylperoxy-1-cyclohexene,1039.033457,185579.1434
1-(1-Ethoxyethoxy)-5-pentanol,30171.00372,724579.1434
"Disulfide, dimethyl",16027213.75,71087.52328
"3,5,7-Trimethyloxepan-2-one",68091.07807,196001.8622
(RS)-4-(tert-Butoxy)-3-methylbutanal,36061.33829,48843.57542
"2,3-Dimethylsuccinodinitrile",122085.5019,176422.7188
"Propanoic acid, 2-methylpropyl ester",162154.2751,12139.6648
"Furan, 2,3-dihydro-4-methyl-",394574.3494,3651100.559
CROTONIC ANHYDRIDE,99074.34944,244184.3575
.alpha.-Methylbenzylnitrile,49263.94052,23400.37244
3-Methyl-1(E)-3butadienyl tert-butyl sulfide,227379.1822,1037258.845
(-)-Lavandulol ,75351.30112,1988968.343
"2-Octenal, (E)-",49392.19331,228817.5047
2-carbomethoxy-bicyclo[2.2.1]heptane(exo) ,36628.25279,68124.76723
Hydrazino(3-phenylsydnon-4-yl)methanone oxime,17750.92937,99124.76723
"1,3-Propanediol, 2-methyl-2-propyl-, dicarbamate",169081.7844,1510754.19
Cyclopropane,300821.5613,68266.29423
"Hexanoic acid, 5-oxo-, methyl ester",241027.881,296588.4544
methyl monoterpenyl succinate,9265.799257,151670.3911
(+-)-3-Hydroxy-2-methylenepentanoic acid,41263.94052,19469.27374
"anti-4-Ethoxy-4,5-dihydro-5-methoxy-5-methyl-2(3H)-furanone",119557.6208,165873.3706
Diisobutyl cellosolve,245052.0446,1146353.818
.alpha.-(3-hydroxyphenoxy)acetophenone,678052.0446,73702.04842
"1-Butanol, 3-methyl-, acetate",1102217.472,107067.0391
1-bromo-1-chloropentane ,55830.85502,107677.8399
(S)-4-Aminobenzyl methyl sulfide,94604.08922,6045601.49
"3-Penten-2-one, 3-methyl-",3314754.647,1922709.497
1-Nitro-2-(but-3-enyl)cyclohexane,43713.75465,78039.10615
methyl hydroxycarbamoyldiazirine-3-carboxylate,179089.2193,152955.3073
(R)-1-(Methoxyethoxymethoxy)methyl-1-methyloxirane,1031126.394,800599.6276
"N,N-Dimethyl-2,2-bis(1'-naphthyl)acetamide",141644.9814,796180.6331
"N-(Tosylmethyl)-2,2-dimethylpropanamide",212771.3755,315394.7858
"2-(diphenylphosphinoyl)-5,5-dimethyl-1,3-dioxane",182823.4201,30467.41155
4-Fluoropyridine,18146.84015,16659.21788
"2,3,5,7,15-Pentaacetoxy-8-(tigloyloxy)-9,14-dioxo-Jatropha-6(17),11(E)-diene",7635.687732,246251.3966
Bicyclo[2.1.0]pentane ,107687.7323,339623.8361
"(1,1-Dideuteriocyclopropyl)acetaldehyde ",321139.4052,142188.0819
4-Picolyl butyl ether ,12814.12639,8648.044693
"(RS)-3,4-Dihydro-4-methyl-2-pyridone",328148.6989,242417.1322
"Butane, 1-chloro-",1729858.736,72050.27933
10-Methoxydec-8-yn-7-one,10195.16729,70055.86592
"3-Heptanone, 2,4-dimethyl- ",131444.2379,40083.79888
"2,5-Dimethylhexane-2,5-dihydroperoxide",7838574.349,146620.1117
"Benzene, 1,3-dimethyl-",151801.1152,5741281.192
"1-O-Acetyl-2-azido-2,3,6-trideoxy-.alpha.-DL-ribo-hexopyranose",18462.82528,333527.0019
2-Heptanone,1735410.781,118752.3277
"1,6-Anhydro-2-chloro-.beta.,D-erythro-hex-3-enpyranose",3741.635688,193011.1732
1-Methoxyhexan-2-ol ,126412.6394,104182.4953
2-Pyridinecarboxylic acid,125105.948,676718.8082
"2(3H)-Furanone, dihydro-5-propyl-",86120.81784,548446.9274
"4-Allyl-5,5-dimethylcyclohexane-1,3-dione",1263.94052,663618.2495
"1-Cyano-2,6-dimethyl-1,5-heptadien-3-ol",35840.1487,2068478.585
"4,4-Dimethoxybutanal",100425.6506,23722.53259
exo-3-(Phenylsulfonyl)bicyclo[3.2.1]octan-8-one,217018.5874,28504.65549
"Propanal, 2-methyl-",249977.6952,303960.8939
"4-Ethylene Ketal of t-5,c-10-Dimethyl-r-1H-bicyclo[5.3.0]dec-6-ene-4,8-dione",105379.1822,55532.58845
E-Citral ,79161.71004,54921.78771
2-Acetyl-2-methyltetrahydrofuran,244594.7955,34070.7635
"3,5-Diamino-1,2,4-triazole",233163.5688,19595.90317
"2,6-Dimethylhepta-1,5-diene-5,5-dicarbonitrile",89518.58736,34376.16387
N-Methoxy-N-methylpropionamide,38449.81413,150439.4786
"(1S,6R)-6-Methyl-3-isopropyl-5-oxocyclohex-3-enecarbonitrile",533650.5576,10201.11732
(S)-2-Ethyl-5-oxotetrahydrofuran-2-carboxylic acid,176291.8216,79415.27002
t-Butyl .alpha.-Cyano-.alpha.-(formylamido)-.beta.-(p-methylphenyl)propanoate,24617.10037,5186275.605
p-Methylhydrocinnamic acid ,7704.460967,94048.41713
2-Oxetanone,257234.2007,44273.74302
"1-(exo)-dimethoxymethyl-4,7-bis(trifluoromethyl)-1a,5,7a,7b-tetrahydro-1H-cy...",3455306.691,207845.4376
1-METHOXY-1-(TRICHLOROMETHYL)CYCLOHEXANE,22646.84015,23905.02793
4-Ethyl-2-methylpyrrole-3-carbonitrile,99855.01859,458878.9572
N-(But-2-enoyl)prop-2-enamide,294899.6283,756536.3128
"1,1,2,2,3-hexafluoro-4-decanone ",36957.24907,55692.73743
"(1S,5S)-2-oxa-6-azabicyclo[3.3.0]octan-3-one",30585.50186,34223.46369
"1,3-Benzenediol, monobenzoate",20858.73606,14234.63687
