Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAL
1-(2-Methylphenyl)pentan-1-one,1564338,
"1-(but-2'-ynoyl)-3,5-dimethylpyrazole",9632,
"1-(exo)-dimethoxymethyl-4,7-bis(trifluoromethyl)-1a,5,7a,7b-tetrahydro-1H-cy...",3455307,
"1-(Iodomethyl)-2,2-dimethylcyclopentane",121625,
"1-(Methoxyphenyl)-4-phenyl-1,2,4-triazoline-3,5-dione",28643,
"1-[1,2,4]Triazol-1-ylethanone",571262,
"1-[1-(Toluene-4-sulfonyl)-4,5-dihydro-1H-pyrrol-2-yl]but-2-en-1-one",55061,
1-Acetoxymethyloxyundec-10-ene,43019,
"1-Acetyl-4,5-dihydro-1H-pyrazole",26214,
"1-aza-3-oxa-2,4,4-triphenyl-cyclopent-1-ene",15364,
"1-Benzyloxy-2,6-dimethyl-8-(tetrahydropyran-2-yloxy)-(2E,6E)-2-octadiene",3292,
"1-BENZYLOXYMETHYL-1-HYDROXYMETHYL-2,5-CYCLOHEXADIENE",35974,
"1-Butanol, 2-ethyl-",403182,
"1-Butanol, 3-methyl-, acetate",1102217,
"1-Chloro-3-methyl-1-[(2'-nitrobenzene)sulfinyl]-1,2-butadiene",17652,
"1-Cyano-2,6-dimethyl-1,5-heptadien-3-ol",35840,
1-Cyclohexyl-2-methylbut-3-en-1-ol,233626,
"1-D1-1,2,4-TRIAZOLE",122615,
1-Deuterio-2-cyclohexenyl acetate,21773,
1-Dotriacontanol,22197,
1-METHOXY-1-(TRICHLOROMETHYL)CYCLOHEXANE,22647,
1-METHOXYBICYCLO(3.2.1)OCTANE,289727,
1-Methoxycarbonyl-2-methylimidazole,138530,
"1-Methyl-1-(2,3-butadienyl)hydrazine",22738,
1-Methyl-1H-6-methoxybenzotriazole,15325,
"1-Methyl-3,4-diamino-cyclohexane",38102,
1-Nitro-2-(but-3-enyl)cyclohexane,43714,
"1-O-Acetyl-2-azido-2,3,6-trideoxy-.alpha.-DL-ribo-hexopyranose",18463,
